category_name,context,instruction,language,is_chat,top_p,temperature,model_name,elo_score
biographies_of_figures,False,False,it,True,0.25,0.9,LLAMA2_70B_CHAT,98
biographies_of_figures,False,False,it,True,0.5,0.5,LLAMA3_70B_CHAT,98
biographies_of_figures,False,False,it,True,0.9,0.9,LLAMA3_70B_CHAT,90
biographies_of_figures,False,False,it,True,0.8,0.75,LLAMA2_13B_CHAT,86
biographies_of_figures,False,False,it,True,0.5,0.5,COHERE_COMMAND_R_PLUS_CHAT,85
biographies_of_figures,False,False,ko,True,0.5,0.9,MISTRAL_LARGE_CHAT,85
biographies_of_figures,False,False,ko,True,0.8,0.75,LLAMA2_13B_CHAT,85
biographies_of_figures,False,False,zh,True,0.5,0.9,LLAMA2_70B_CHAT,84
biographies_of_figures,False,False,zh,True,0.5,0.75,LLAMA2_70B_CHAT,84
biographies_of_figures,False,False,zh,True,0.25,0.5,LLAMA2_70B_CHAT,84
biographies_of_figures,False,False,zh,True,0.9,0.75,LLAMA2_70B_CHAT,84
biographies_of_figures,False,False,zh,True,0.9,0.9,LLAMA2_70B_CHAT,84
biographies_of_figures,False,False,it,True,0.5,0.9,LLAMA3_70B_CHAT,84
biographies_of_figures,False,False,it,True,0.5,0.5,LLAMA2_70B_CHAT,84
biographies_of_figures,False,False,it,True,0.9,0.5,LLAMA2_13B_CHAT,84
biographies_of_figures,False,False,it,True,0.8,0.5,LLAMA2_13B_CHAT,84
biographies_of_figures,False,False,it,True,0.8,0.75,LLAMA3_70B_CHAT,84
biographies_of_figures,False,False,ko,True,0.9,0.5,COHERE_COMMAND_R_CHAT,84
biographies_of_figures,False,False,ko,True,0.5,0.75,COHERE_COMMAND_R_CHAT,84
biographies_of_figures,False,False,ru,True,0.8,0.75,GPT3.5_CHAT_TURBO,84
biographies_of_figures,False,False,ru,True,0.25,0.5,GPT3.5_CHAT_TURBO,84
biographies_of_figures,False,False,ru,True,0.9,0.75,GPT3.5_CHAT_TURBO,84
biographies_of_figures,False,False,ru,True,0.5,0.75,GPT3.5_CHAT_TURBO,84
biographies_of_figures,False,False,ru,True,0.8,0.5,GPT3.5_CHAT_TURBO,84
biographies_of_figures,False,False,ru,True,0.25,0.9,MISTRAL_LARGE_CHAT,84
biographies_of_figures,False,False,ru,True,0.9,0.9,GPT3.5_CHAT_TURBO,84
biographies_of_figures,False,False,ru,True,0.9,0.5,GPT3.5_CHAT_TURBO,84
biographies_of_figures,False,False,ru,True,0.5,0.5,MISTRAL_LARGE_CHAT,84
biographies_of_figures,False,False,ru,True,0.25,0.75,LLAMA2_7B_CHAT,84
biographies_of_figures,False,False,ru,True,0.9,0.5,COHERE_COMMAND_R_CHAT,84
biographies_of_figures,False,False,ja,True,0.25,0.75,LLAMA2_7B_CHAT,84
biographies_of_figures,False,False,ja,True,0.5,0.75,LLAMA2_7B_CHAT,84
biographies_of_figures,False,False,ja,True,0.8,0.9,LLAMA2_7B_CHAT,84
biographies_of_figures,False,False,ja,True,0.9,0.5,LLAMA2_7B_CHAT,84
biographies_of_figures,False,False,ja,True,0.8,0.5,LLAMA2_70B_CHAT,84
biographies_of_figures,False,False,ja,True,0.25,0.75,LLAMA2_13B_CHAT,84
biographies_of_figures,False,False,es,True,0.9,0.5,COHERE_COMMAND_R_PLUS_CHAT,84
biographies_of_figures,False,False,es,True,0.9,0.9,COHERE_COMMAND_R_PLUS_CHAT,84
biographies_of_figures,False,False,es,True,0.5,0.75,COHERE_COMMAND_R_PLUS_CHAT,84
biographies_of_figures,False,False,fr,True,0.25,0.75,LLAMA3_70B_CHAT,84
biographies_of_figures,False,False,fr,True,0.8,0.5,LLAMA3_70B_CHAT,84
biographies_of_figures,False,False,fr,True,0.9,0.9,LLAMA3_70B_CHAT,84
biographies_of_figures,False,False,fr,True,0.25,0.75,COHERE_COMMAND_R_PLUS_CHAT,84
biographies_of_figures,False,False,ko,True,0.8,0.9,GPT3.5_CHAT_TURBO,84
biographies_of_figures,False,False,ko,True,0.5,0.9,GPT3.5_CHAT_TURBO,84
biographies_of_figures,False,False,ko,True,0.8,0.5,GPT3.5_CHAT_TURBO,84
biographies_of_figures,False,False,ko,True,0.25,0.9,GPT3.5_CHAT_TURBO,84
biographies_of_figures,False,False,ko,True,0.9,0.75,LLAMA2_70B_CHAT,84
biographies_of_figures,False,False,ko,True,0.25,0.75,LLAMA2_70B_CHAT,84
biographies_of_figures,False,False,ko,True,0.8,0.5,MISTRAL_LARGE_CHAT,84
biographies_of_figures,False,False,ko,True,0.25,0.9,MISTRAL_LARGE_CHAT,84
biographies_of_figures,False,False,ko,True,0.9,0.9,MISTRAL_LARGE_CHAT,84
biographies_of_figures,False,False,ko,True,0.5,0.75,MISTRAL_LARGE_CHAT,84
biographies_of_figures,False,False,ko,True,0.8,0.75,MISTRAL_LARGE_CHAT,84
biographies_of_figures,False,False,ko,True,0.8,0.9,LLAMA2_13B_CHAT,84
biographies_of_figures,False,False,ko,True,0.25,0.75,LLAMA2_13B_CHAT,84
biographies_of_figures,False,False,ko,True,0.25,0.5,LLAMA2_13B_CHAT,84
biographies_of_figures,False,False,ko,True,0.9,0.5,LLAMA2_13B_CHAT,84
biographies_of_figures,False,False,ko,True,0.5,0.5,LLAMA2_13B_CHAT,84
biographies_of_figures,False,False,it,True,0.5,0.5,LLAMA3_8B_CHAT,83
biographies_of_figures,False,False,it,True,0.9,0.9,LLAMA2_70B_CHAT,83
biographies_of_figures,False,False,ja,True,0.9,0.9,COHERE_COMMAND_R_PLUS_CHAT,83
biographies_of_figures,False,False,it,True,0.5,0.75,LLAMA2_70B_CHAT,82
biographies_of_figures,False,False,ru,True,0.5,0.75,MISTRAL_LARGE_CHAT,81
biographies_of_figures,False,False,ko,True,0.5,0.75,LLAMA2_70B_CHAT,81
biographies_of_figures,False,False,ko,True,0.25,0.5,GPT3.5_CHAT_TURBO,73
biographies_of_figures,False,False,ru,True,0.25,0.75,GPT3.5_CHAT_TURBO,71
biographies_of_figures,False,False,ru,True,0.5,0.5,GPT3.5_CHAT_TURBO,70
biographies_of_figures,False,False,ko,True,0.5,0.75,LLAMA2_13B_CHAT,69
biographies_of_figures,False,False,ko,True,0.9,0.5,MISTRAL_LARGE_CHAT,69
biographies_of_figures,False,False,ko,True,0.5,0.9,LLAMA2_70B_CHAT,69
biographies_of_figures,False,False,ja,True,0.25,0.9,LLAMA2_7B_CHAT,69
biographies_of_figures,False,False,ja,True,0.25,0.9,LLAMA2_70B_CHAT,68
biographies_of_figures,False,False,ko,True,0.9,0.5,LLAMA2_70B_CHAT,67
biographies_of_figures,False,False,it,True,0.8,0.5,LLAMA3_8B_CHAT,67
biographies_of_figures,False,False,it,True,0.9,0.9,LLAMA2_13B_CHAT,66
biographies_of_figures,False,False,it,True,0.9,0.75,LLAMA2_13B_CHAT,55
biographies_of_figures,False,False,it,True,0.5,0.9,COHERE_COMMAND_R_PLUS_CHAT,54
biographies_of_figures,False,False,es,True,0.25,0.75,COHERE_COMMAND_R_PLUS_CHAT,53
businbusiness_creation,False,False,en,True,0.5,0.9,LLAMA2_70B_CHAT,68
business_analysis,False,False,en,True,0.9,0.5,LLAMA3_70B_CHAT,143
business_analysis,False,False,ru,True,0.25,0.9,MISTRAL_LARGE_CHAT,143
business_analysis,False,False,ru,True,0.9,0.5,MISTRAL_LARGE_CHAT,138
business_analysis,False,False,en,True,0.5,0.75,COHERE_COMMAND_R_CHAT,132
business_analysis,False,False,es,True,0.25,0.9,LLAMA2_7B_CHAT,132
business_analysis,False,False,ru,True,0.8,0.5,COHERE_COMMAND_R_CHAT,132
business_analysis,False,False,ko,True,0.9,0.9,LLAMA2_70B_CHAT,131
business_analysis,False,False,es,True,0.9,0.5,LLAMA2_13B_CHAT,131
business_analysis,False,False,es,True,0.5,0.9,LLAMA2_13B_CHAT,131
business_analysis,True,False,de,True,0.5,0.75,GPT4_CHAT,131
business_analysis,False,False,en,True,0.25,0.5,LLAMA2_7B_CHAT,131
business_analysis,False,False,en,True,0.8,0.9,COHERE_COMMAND_R_CHAT,131
business_analysis,False,False,es,True,0.8,0.75,GPT3.5_CHAT_TURBO,131
business_analysis,False,False,pt,True,0.9,0.5,LLAMA2_7B_CHAT,131
business_analysis,False,False,it,True,0.25,0.75,LLAMA2_7B_CHAT,131
business_analysis,False,False,en,True,0.5,0.5,LLAMA3_70B_CHAT,131
business_analysis,False,False,en,True,0.8,0.75,LLAMA3_70B_CHAT,131
business_analysis,False,False,fr,True,0.9,0.9,GPT4_CHAT,131
business_analysis,False,False,fr,True,0.9,0.75,MISTRAL_LARGE_CHAT,131
business_analysis,False,False,fr,True,0.25,0.9,MISTRAL_LARGE_CHAT,131
business_analysis,False,False,fr,True,0.5,0.75,GPT3.5_CHAT_TURBO,131
business_analysis,True,False,es,True,0.9,0.75,LLAMA2_13B_CHAT,131
business_analysis,False,False,ru,True,0.5,0.9,COHERE_COMMAND_R_CHAT,131
business_analysis,True,False,en,True,0.8,0.5,LLAMA2_7B_CHAT,130
business_analysis,False,False,it,True,0.25,0.9,COHERE_COMMAND_R_CHAT,130
business_analysis,False,False,ru,True,0.8,0.9,MISTRAL_LARGE_CHAT,130
business_analysis,False,False,fr,True,0.25,0.75,MISTRAL_LARGE_CHAT,130
business_analysis,False,False,fr,True,0.9,0.9,GPT3.5_CHAT_TURBO,130
business_analysis,False,False,ru,True,0.8,0.75,MISTRAL_LARGE_CHAT,130
business_analysis,False,False,ru,True,0.5,0.9,MISTRAL_LARGE_CHAT,130
business_analysis,False,False,ru,True,0.25,0.75,GPT3.5_CHAT_TURBO,130
business_analysis,False,False,en,True,0.5,0.9,LLAMA3_70B_CHAT,129
business_analysis,False,False,en,True,0.8,0.5,LLAMA2_7B_CHAT,128
business_analysis,False,False,ru,True,0.25,0.5,LLAMA2_13B_CHAT,127
business_analysis,False,False,ru,True,0.9,0.5,COHERE_COMMAND_R_CHAT,118
business_analysis,False,False,ko,True,0.8,0.75,LLAMA2_70B_CHAT,116
business_analysis,False,False,ko,True,0.5,0.5,GPT4_CHAT,116
business_analysis,False,False,zh,True,0.25,0.75,COHERE_COMMAND_R_CHAT,116
business_analysis,False,False,zh,True,0.5,0.5,LLAMA3_8B_CHAT,116
business_analysis,False,False,en,True,0.5,0.75,LLAMA3_70B_CHAT,116
business_analysis,False,False,en,True,0.25,0.9,LLAMA3_70B_CHAT,116
business_analysis,False,False,en,True,0.8,0.5,LLAMA3_70B_CHAT,116
business_analysis,False,False,es,True,0.8,0.75,GPT4_CHAT,116
business_analysis,False,False,es,True,0.25,0.5,GPT4_CHAT,116
business_analysis,False,False,es,True,0.8,0.5,LLAMA2_13B_CHAT,116
business_analysis,True,False,de,True,0.5,0.5,GPT4_CHAT,116
business_analysis,True,False,de,True,0.25,0.5,GPT4_CHAT,116
business_analysis,False,False,en,True,0.5,0.5,COHERE_COMMAND_R_CHAT,116
business_analysis,True,False,en,True,0.25,0.5,LLAMA2_7B_CHAT,116
business_analysis,True,False,en,True,0.9,0.75,LLAMA2_7B_CHAT,116
business_analysis,False,False,it,True,0.5,0.9,COHERE_COMMAND_R_CHAT,116
business_analysis,False,False,it,True,0.8,0.9,COHERE_COMMAND_R_CHAT,116
business_analysis,False,False,it,True,0.5,0.5,COHERE_COMMAND_R_CHAT,116
business_analysis,False,False,it,True,0.8,0.75,COHERE_COMMAND_R_CHAT,116
business_analysis,False,False,it,True,0.9,0.5,COHERE_COMMAND_R_CHAT,116
business_analysis,False,False,it,True,0.9,0.75,COHERE_COMMAND_R_CHAT,116
business_analysis,False,False,pt,True,0.25,0.9,GPT4_CHAT,116
business_analysis,False,False,en,True,0.25,0.9,COHERE_COMMAND_R_CHAT,116
business_analysis,False,False,es,True,0.25,0.75,LLAMA2_7B_CHAT,116
business_analysis,False,False,es,True,0.8,0.9,GPT3.5_CHAT_TURBO,116
business_analysis,False,False,es,True,0.25,0.5,LLAMA2_7B_CHAT,116
business_analysis,False,False,es,True,0.5,0.5,LLAMA2_7B_CHAT,116
business_analysis,False,False,pt,True,0.5,0.5,COHERE_COMMAND_R_PLUS_CHAT,116
business_analysis,False,False,pt,True,0.9,0.9,COHERE_COMMAND_R_PLUS_CHAT,116
business_analysis,False,False,ru,True,0.5,0.5,MISTRAL_LARGE_CHAT,116
business_analysis,False,False,ru,True,0.9,0.75,LLAMA3_8B_CHAT,116
business_analysis,False,False,en,True,0.9,0.9,MISTRAL_LARGE_CHAT,116
business_analysis,False,False,fr,True,0.5,0.75,LLAMA3_70B_CHAT,116
business_analysis,False,False,fr,True,0.25,0.5,LLAMA3_70B_CHAT,116
business_analysis,False,False,fr,True,0.9,0.9,LLAMA3_70B_CHAT,116
business_analysis,False,False,fr,True,0.8,0.9,LLAMA3_70B_CHAT,116
business_analysis,False,False,fr,True,0.25,0.9,LLAMA3_70B_CHAT,116
business_analysis,False,False,fr,True,0.9,0.5,LLAMA3_8B_CHAT,116
business_analysis,False,False,fr,True,0.8,0.5,MISTRAL_LARGE_CHAT,116
business_analysis,False,False,fr,True,0.9,0.75,LLAMA3_8B_CHAT,116
business_analysis,False,False,fr,True,0.8,0.5,LLAMA3_8B_CHAT,116
business_analysis,False,False,fr,True,0.8,0.75,LLAMA3_8B_CHAT,116
business_analysis,False,False,fr,True,0.8,0.5,GPT3.5_CHAT_TURBO,116
business_analysis,False,False,fr,True,0.25,0.75,COHERE_COMMAND_R_CHAT,116
business_analysis,False,False,fr,True,0.5,0.9,COHERE_COMMAND_R_CHAT,116
business_analysis,False,False,fr,True,0.8,0.75,MISTRAL_LARGE_CHAT,116
business_analysis,False,False,fr,True,0.5,0.75,MISTRAL_LARGE_CHAT,116
business_analysis,False,False,fr,True,0.25,0.9,GPT3.5_CHAT_TURBO,116
business_analysis,False,False,fr,True,0.8,0.9,LLAMA2_13B_CHAT,116
business_analysis,False,False,fr,True,0.25,0.9,LLAMA2_7B_CHAT,116
business_analysis,True,False,fr,True,0.5,0.9,LLAMA2_13B_CHAT,116
business_analysis,True,False,es,True,0.25,0.5,LLAMA2_13B_CHAT,116
business_analysis,True,False,es,True,0.9,0.5,LLAMA3_70B_CHAT,116
business_analysis,True,False,es,True,0.8,0.5,LLAMA2_13B_CHAT,116
business_analysis,True,False,es,True,0.25,0.75,LLAMA2_13B_CHAT,116
business_analysis,True,False,es,True,0.9,0.5,LLAMA2_13B_CHAT,116
business_analysis,False,False,ru,True,0.9,0.9,COHERE_COMMAND_R_CHAT,116
business_analysis,False,False,ru,True,0.25,0.9,GPT3.5_CHAT_TURBO,116
business_analysis,False,False,ru,True,0.9,0.75,LLAMA3_70B_CHAT,116
business_analysis,False,False,ru,True,0.25,0.5,COHERE_COMMAND_R_CHAT,116
business_analysis,False,False,ru,True,0.8,0.75,LLAMA2_13B_CHAT,116
business_analysis,False,False,ko,True,0.5,0.75,LLAMA2_70B_CHAT,115
business_analysis,False,False,ko,True,0.25,0.5,GPT4_CHAT,115
business_analysis,False,False,zh,True,0.9,0.9,COHERE_COMMAND_R_CHAT,115
business_analysis,False,False,zh,True,0.5,0.9,COHERE_COMMAND_R_CHAT,115
business_analysis,True,False,en,True,0.5,0.75,LLAMA2_7B_CHAT,115
business_analysis,False,False,en,True,0.8,0.75,GPT3.5_CHAT_TURBO,115
business_analysis,False,False,en,True,0.9,0.5,GPT3.5_CHAT_TURBO,115
business_analysis,False,False,ru,True,0.9,0.75,MISTRAL_LARGE_CHAT,115
business_analysis,False,False,fr,True,0.25,0.9,GPT4_CHAT,115
business_analysis,False,False,fr,True,0.5,0.75,COHERE_COMMAND_R_PLUS_CHAT,115
business_analysis,False,False,fr,True,0.9,0.5,COHERE_COMMAND_R_PLUS_CHAT,115
business_analysis,False,False,fr,True,0.25,0.9,COHERE_COMMAND_R_CHAT,115
business_analysis,False,False,fr,True,0.8,0.5,LLAMA2_13B_CHAT,115
business_analysis,False,False,fr,True,0.5,0.5,LLAMA2_7B_CHAT,115
business_analysis,False,False,ru,True,0.8,0.75,COHERE_COMMAND_R_CHAT,115
business_analysis,True,False,en,True,0.25,0.9,LLAMA2_7B_CHAT,114
business_analysis,True,False,en,True,0.8,0.75,LLAMA2_7B_CHAT,114
business_analysis,False,False,it,True,0.8,0.5,COHERE_COMMAND_R_CHAT,114
business_analysis,False,False,fr,True,0.5,0.75,LLAMA2_13B_CHAT,114
business_analysis,False,False,ru,True,0.8,0.5,MISTRAL_LARGE_CHAT,114
business_analysis,False,False,ru,True,0.25,0.5,MISTRAL_LARGE_CHAT,114
business_analysis,False,False,ru,True,0.9,0.9,MISTRAL_LARGE_CHAT,112
business_analysis,False,False,zh,True,0.9,0.5,COHERE_COMMAND_R_CHAT,112
business_analysis,False,False,ru,True,0.8,0.5,GPT3.5_CHAT_TURBO,103
business_analysis,False,False,zh,True,0.9,0.75,COHERE_COMMAND_R_CHAT,101
business_analysis,True,False,en,True,0.8,0.75,GPT3.5_CHAT_TURBO,101
business_analysis,False,False,ru,True,0.25,0.75,LLAMA3_70B_CHAT,101
business_analysis,False,False,ru,True,0.5,0.9,LLAMA3_70B_CHAT,100
business_analysis,False,False,es,True,0.9,0.5,GPT3.5_CHAT_TURBO,100
business_analysis,False,False,ko,True,0.9,0.75,GPT4_CHAT,100
business_analysis,False,False,es,True,0.9,0.9,LLAMA2_13B_CHAT,100
business_analysis,False,False,en,True,0.25,0.75,COHERE_COMMAND_R_CHAT,100
business_analysis,False,False,en,True,0.5,0.9,GPT3.5_CHAT_TURBO,100
business_analysis,False,False,it,True,0.25,0.9,LLAMA2_7B_CHAT,100
business_analysis,False,False,fr,True,0.9,0.9,MISTRAL_LARGE_CHAT,100
business_analysis,False,False,fr,True,0.8,0.9,MISTRAL_LARGE_CHAT,100
business_analysis,False,False,fr,True,0.8,0.9,COHERE_COMMAND_R_CHAT,100
business_analysis,False,False,fr,True,0.8,0.9,GPT3.5_CHAT_TURBO,100
business_analysis,True,False,es,True,0.8,0.9,LLAMA3_70B_CHAT,100
business_analysis,False,False,ru,True,0.8,0.9,COHERE_COMMAND_R_CHAT,99
business_analysis,False,False,ru,True,0.5,0.5,COHERE_COMMAND_R_CHAT,99
business_analysis,False,False,fr,True,0.5,0.9,LLAMA2_7B_CHAT,99
business_analysis,False,False,pt,True,0.25,0.5,LLAMA2_7B_CHAT,99
business_analysis,False,False,ko,True,0.8,0.9,LLAMA2_70B_CHAT,99
business_analysis,False,False,fr,True,0.8,0.75,GPT4_CHAT,99
business_analysis,False,False,fr,True,0.25,0.5,COHERE_COMMAND_R_CHAT,99
business_analysis,False,False,fr,True,0.9,0.9,LLAMA2_13B_CHAT,99
business_analysis,False,False,es,True,0.8,0.75,LLAMA2_13B_CHAT,98
business_analysis,False,False,zh,True,0.8,0.75,LLAMA3_8B_CHAT,98
business_analysis,False,False,ru,True,0.9,0.75,GPT3.5_CHAT_TURBO,97
business_analysis,False,False,en,True,0.8,0.75,MISTRAL_LARGE_CHAT,87
business_analysis,False,False,zh,True,0.25,0.9,LLAMA3_8B_CHAT,86
business_analysis,False,False,fr,True,0.5,0.75,LLAMA2_7B_CHAT,86
business_analysis,False,False,ru,True,0.9,0.75,LLAMA2_13B_CHAT,85
business_analysis,False,False,ko,True,0.25,0.75,LLAMA2_70B_CHAT,84
business_analysis,False,False,ko,True,0.5,0.9,GPT4_CHAT,84
business_analysis,False,False,ko,True,0.25,0.9,LLAMA2_70B_CHAT,84
business_analysis,False,False,zh,True,0.25,0.5,LLAMA3_8B_CHAT,84
business_analysis,False,False,zh,True,0.8,0.75,COHERE_COMMAND_R_CHAT,84
business_analysis,False,False,en,True,0.8,0.5,MISTRAL_LARGE_CHAT,84
business_analysis,False,False,en,True,0.25,0.9,MISTRAL_LARGE_CHAT,84
business_analysis,False,False,en,True,0.25,0.5,MISTRAL_LARGE_CHAT,84
business_analysis,False,False,en,True,0.9,0.5,MISTRAL_LARGE_CHAT,84
business_analysis,False,False,es,True,0.5,0.75,GPT4_CHAT,84
business_analysis,False,False,es,True,0.9,0.75,GPT4_CHAT,84
business_analysis,False,False,es,True,0.5,0.9,GPT4_CHAT,84
business_analysis,True,False,de,True,0.5,0.75,LLAMA2_7B_CHAT,84
business_analysis,True,False,de,True,0.8,0.75,LLAMA2_7B_CHAT,84
business_analysis,True,False,de,True,0.8,0.9,LLAMA2_7B_CHAT,84
business_analysis,True,False,de,True,0.9,0.75,LLAMA2_7B_CHAT,84
business_analysis,False,False,en,True,0.9,0.75,LLAMA2_7B_CHAT,84
business_analysis,False,False,en,True,0.5,0.9,COHERE_COMMAND_R_CHAT,84
business_analysis,True,False,en,True,0.25,0.9,GPT3.5_CHAT_TURBO,84
